time;r_1_1;r_1_2;r_1_3;r_2_1;r_2_2;r_2_3;r_3_1;r_3_2;r_3_3;r_4_1;r_4_2;r_4_3
3.3999989032745361e+00;-6.7162066698074341e-01;1.6022429466247559e+00;0.0000000000000000e+00;-1.6022429466247559e+00;-6.7162066698074341e-01;0.0000000000000000e+00;6.7162066698074341e-01;-1.6022429466247559e+00;0.0000000000000000e+00;1.6022429466247559e+00;6.7162066698074341e-01;0.0000000000000000e+00;
3.4999988079071045e+00;-7.2878652811050415e-01;1.6047644615173340e+00;0.0000000000000000e+00;-1.6047644615173340e+00;-7.2878652811050415e-01;0.0000000000000000e+00;7.2878652811050415e-01;-1.6047644615173340e+00;0.0000000000000000e+00;1.6047644615173340e+00;7.2878652811050415e-01;0.0000000000000000e+00;
3.5999987125396729e+00;-7.8520345687866211e-01;1.6056382656097412e+00;0.0000000000000000e+00;-1.6056382656097412e+00;-7.8520345687866211e-01;0.0000000000000000e+00;7.8520345687866211e-01;-1.6056382656097412e+00;0.0000000000000000e+00;1.6056382656097412e+00;7.8520345687866211e-01;0.0000000000000000e+00;
3.6999986171722412e+00;-8.4084671735763550e-01;1.6049312353134155e+00;0.0000000000000000e+00;-1.6049312353134155e+00;-8.4084671735763550e-01;0.0000000000000000e+00;8.4084671735763550e-01;-1.6049312353134155e+00;0.0000000000000000e+00;1.6049312353134155e+00;8.4084671735763550e-01;0.0000000000000000e+00;
3.7999985218048096e+00;-8.9569473266601562e-01;1.6027072668075562e+00;0.0000000000000000e+00;-1.6027072668075562e+00;-8.9569473266601562e-01;0.0000000000000000e+00;8.9569473266601562e-01;-1.6027072668075562e+00;0.0000000000000000e+00;1.6027072668075562e+00;8.9569473266601562e-01;0.0000000000000000e+00;
3.8999984264373779e+00;-9.4972860813140869e-01;1.5990275144577026e+00;0.0000000000000000e+00;-1.5990275144577026e+00;-9.4972860813140869e-01;0.0000000000000000e+00;9.4972860813140869e-01;-1.5990275144577026e+00;0.0000000000000000e+00;1.5990275144577026e+00;9.4972860813140869e-01;0.0000000000000000e+00;
3.9999983310699463e+00;-1.0029320716857910e+00;1.5939503908157349e+00;0.0000000000000000e+00;-1.5939503908157349e+00;-1.0029320716857910e+00;0.0000000000000000e+00;1.0029320716857910e+00;-1.5939503908157349e+00;0.0000000000000000e+00;1.5939503908157349e+00;1.0029320716857910e+00;0.0000000000000000e+00;
4.0999984741210938e+00;-1.0552908182144165e+00;1.5875315666198730e+00;0.0000000000000000e+00;-1.5875315666198730e+00;-1.0552908182144165e+00;0.0000000000000000e+00;1.0552908182144165e+00;-1.5875315666198730e+00;0.0000000000000000e+00;1.5875315666198730e+00;1.0552908182144165e+00;0.0000000000000000e+00;
4.1999983787536621e+00;-1.1067926883697510e+00;1.5798243284225464e+00;0.0000000000000000e+00;-1.5798243284225464e+00;-1.1067926883697510e+00;0.0000000000000000e+00;1.1067926883697510e+00;-1.5798243284225464e+00;0.0000000000000000e+00;1.5798243284225464e+00;1.1067926883697510e+00;0.0000000000000000e+00;
4.2999982833862305e+00;-1.1574271917343140e+00;1.5708796977996826e+00;0.0000000000000000e+00;-1.5708796977996826e+00;-1.1574271917343140e+00;0.0000000000000000e+00;1.1574271917343140e+00;-1.5708796977996826e+00;0.0000000000000000e+00;1.5708796977996826e+00;1.1574271917343140e+00;0.0000000000000000e+00;
4.3999981880187988e+00;-1.2071853876113892e+00;1.5607461929321289e+00;0.0000000000000000e+00;-1.5607461929321289e+00;-1.2071853876113892e+00;0.0000000000000000e+00;1.2071853876113892e+00;-1.5607461929321289e+00;0.0000000000000000e+00;1.5607461929321289e+00;1.2071853876113892e+00;0.0000000000000000e+00;
4.4999980926513672e+00;-1.2560597658157349e+00;1.5494704246520996e+00;0.0000000000000000e+00;-1.5494704246520996e+00;-1.2560597658157349e+00;0.0000000000000000e+00;1.2560597658157349e+00;-1.5494704246520996e+00;0.0000000000000000e+00;1.5494704246520996e+00;1.2560597658157349e+00;0.0000000000000000e+00;
4.5999979972839355e+00;-1.3040438890457153e+00;1.5370969772338867e+00;0.0000000000000000e+00;-1.5370969772338867e+00;-1.3040438890457153e+00;0.0000000000000000e+00;1.3040438890457153e+00;-1.5370969772338867e+00;0.0000000000000000e+00;1.5370969772338867e+00;1.3040438890457153e+00;0.0000000000000000e+00;
4.6999979019165039e+00;-1.3511326313018799e+00;1.5236684083938599e+00;0.0000000000000000e+00;-1.5236684083938599e+00;-1.3511326313018799e+00;0.0000000000000000e+00;1.3511326313018799e+00;-1.5236684083938599e+00;0.0000000000000000e+00;1.5236684083938599e+00;1.3511326313018799e+00;0.0000000000000000e+00;
4.7999978065490723e+00;-1.3973215818405151e+00;1.5092254877090454e+00;0.0000000000000000e+00;-1.5092254877090454e+00;-1.3973215818405151e+00;0.0000000000000000e+00;1.3973215818405151e+00;-1.5092254877090454e+00;0.0000000000000000e+00;1.5092254877090454e+00;1.3973215818405151e+00;0.0000000000000000e+00;
4.8999977111816406e+00;-1.4426072835922241e+00;1.4938073158264160e+00;0.0000000000000000e+00;-1.4938073158264160e+00;-1.4426072835922241e+00;0.0000000000000000e+00;1.4426072835922241e+00;-1.4938073158264160e+00;0.0000000000000000e+00;1.4938073158264160e+00;1.4426072835922241e+00;0.0000000000000000e+00;
